Age,Gender,Income,Employment Type,Experience,Loan Amount,Loan Duration,Credit History,Payment History,Existing Loans,Debt,Savings,EMI,Credit Card Utilization,Loan Purpose,Marital Status,Education,Default History,Interest Rate,Monthly Balance,Credit Mix,Payment Behaviour,Outstanding Debt,Monthly Salary,Occupation,Target
25,Female,86468.68,Media_Manager,2,167791.04,60,15,Good,4,212.49,46479.54,3495.65,38.81,Education,Divorced,Bachelor,1,16,323,Bad,High_spent_Medium_value_payments,3991.34,4223.29,Journalist,Not Creditworthy
47,Female,11162.02,Musician,23,141034.77,48,27,Excellent,4,1235.11,6162.62,5876.45,25.38,Personal,Married,Bachelor,1,1,205.08,Good,Low_spent_Medium_value_payments,1404.06,2899.38,Architect,Not Creditworthy
40,Female,68190.01,Teacher,16,120516.75,24,948,Good,6,4283.59,33271.16,3347.69,33.4,Education,Married,Diploma,0,8,352.27,Standard,Low_spent_Small_value_payments,203.69,2506.57,Scientist,Creditworthy
26,Female,10000,Musician,1,107837.2,60,23,Good,1,1912.96,3041.74,8986.43,28.83,Education,Single,PhD,1,20,364.38,Standard,Low_spent_Small_value_payments,1274.59,4387.27,Mechanic,Not Creditworthy
48,Female,16866.5,Mechanic,25,136072.53,60,9,Good,1,1385.89,4914.1,2267.88,40.32,Education,Single,PhD,0,16,532.39,_,Low_spent_Small_value_payments,605.34,8643.78,Developer,Creditworthy
45,Male,16718.08,Manager,24,81954.58,36,17,Good,5,2931.99,8156.26,3414.77,35.73,Education,Married,Bachelor,0,28,306.99,Bad,Low_spent_Large_value_payments,4385.27,1327.18,Teacher,Creditworthy
32,Female,20059.78,Architect,6,189087.86,24,5,Good,4,841.07,7891.97,3939.33,38.55,Car,Married,Master,1,7,321.51,Standard,High_spent_Large_value_payments,2431.64,1654.62,Writer,Not Creditworthy
36,Female,30776.8,Manager,10,50000,24,24,Good,8,1309.32,15737.71,1041.67,37.23,Education,Single,Bachelor,0,18,597.62,Standard,Low_spent_Large_value_payments,1043.09,10899.15,Scientist,Creditworthy
24,Male,83330.32,Accountant,0,170467.55,24,22,Poor,8,1538.13,40848.66,3551.41,37.08,Education,Single,Diploma,1,11,268.17,Good,Low_spent_Medium_value_payments,190.04,3231.1,Journalist,Not Creditworthy
46,Female,70112.78,Doctor,25,50000,48,16,Poor,2,877.06,40060.91,1041.67,33.51,Car,Single,High School,1,18,314.22,Standard,High_spent_Medium_value_payments,2551.12,1416.69,Teacher,Not Creditworthy
38,Female,35478.55,Unemployed,17,111680.28,84,18,Average,3,203.69,27743.16,3102.23,28.3,Personal,Married,Bachelor,1,12,257.98,Standard,High_spent_Medium_value_payments,70.82,2471.64,Entrepreneur,Not Creditworthy
26,Male,62846.31,Manager,0,159722.09,36,27,Average,7,4073.62,46658.34,13310.17,26.92,Personal,Single,Bachelor,1,13,401.97,Standard,High_spent_Medium_value_payments,690.71,0,Media_Manager,Not Creditworthy
28,Female,41342.86,Writer,6,117901.33,12,17,Average,4,262.96,2894.33,2456.28,31.33,Business,Married,PhD,1,9,314.76,_,Low_spent_Medium_value_payments,743.2,1585.13,Doctor,Not Creditworthy
23,Male,36822.29,Entrepreneur,0,172710.49,48,11,Good,1,125.25,23209.71,3598.14,29.25,Education,Married,High School,1,2,898.37,Good,!@9#%8,105.26,10966.93,Musician,Not Creditworthy
39,Female,64036.88,Media_Manager,13,123558.11,84,12,Good,4,1635.19,39138.45,3432.17,32.86,Business,Single,Bachelor,0,27,276.46,Bad,High_spent_Large_value_payments,1790.35,0,Media_Manager,Creditworthy
